dateTime,Signal_strength,value
2018-12-01T00:00:00.000+0000,-90,42
2018-12-01T01:00:00.000+0000,-90,44
2018-12-01T02:00:00.000+0000,-87,38
2018-12-01T03:00:00.000+0000,-88,40
2018-12-01T04:00:00.000+0000,-80,38
2018-12-01T05:00:00.000+0000,-84,40
2018-12-01T06:00:00.000+0000,-89,48
2018-12-01T07:00:00.000+0000,-85,57
2018-12-01T08:00:00.000+0000,-98,57
2018-12-01T09:00:00.000+0000,-104,57
2018-12-01T10:00:00.000+0000,-101,39
2018-12-01T11:00:00.000+0000,-111,29
2018-12-01T12:00:00.000+0000,-102,26
2018-12-01T13:00:00.000+0000,-103,22
2018-12-01T14:00:00.000+0000,-101,26
2018-12-01T15:00:00.000+0000,-76,23
2018-12-01T16:00:00.000+0000,-70,24
2018-12-01T17:00:00.000+0000,-91,21
2018-12-01T18:00:00.000+0000,-92,16
2018-12-01T19:00:00.000+0000,-91,38
2018-12-01T20:00:00.000+0000,-95,58
2018-12-01T21:00:00.000+0000,-93,65
2018-12-01T22:00:00.000+0000,-85,53
2018-12-01T23:00:00.000+0000,-89,55
2018-12-02T00:00:00.000+0000,-88,48
2018-12-02T01:00:00.000+0000,-84,43
2018-12-02T02:00:00.000+0000,-90,46
2018-12-02T03:00:00.000+0000,-89,45
2018-12-02T04:00:00.000+0000,-94,39
2018-12-02T05:00:00.000+0000,-79,40
2018-12-02T06:00:00.000+0000,-81,47
2018-12-02T07:00:00.000+0000,-83,46
2018-12-02T08:00:00.000+0000,-80,39
2018-12-02T09:00:00.000+0000,-83,45
2018-12-02T10:00:00.000+0000,-84,37
2018-12-02T11:00:00.000+0000,-79,37
2018-12-02T12:00:00.000+0000,-88,31
2018-12-02T13:00:00.000+0000,-82,20
2018-12-02T14:00:00.000+0000,-83,23
2018-12-02T15:00:00.000+0000,-70,21
2018-12-02T16:00:00.000+0000,-83,20
2018-12-02T17:00:00.000+0000,-72,23
2018-12-02T18:00:00.000+0000,-77,23
2018-12-02T19:00:00.000+0000,-90,42
2018-12-02T20:00:00.000+0000,-80,43
2018-12-02T21:00:00.000+0000,-85,45
2018-12-02T22:00:00.000+0000,-95,50
2018-12-02T23:00:00.000+0000,-80,45
2018-12-03T00:00:00.000+0000,-84,41
2018-12-03T01:00:00.000+0000,-80,35
2018-12-03T02:00:00.000+0000,-95,32
2018-12-03T03:00:00.000+0000,-96,34
2018-12-03T04:00:00.000+0000,-99,32
2018-12-03T05:00:00.000+0000,-110,36
2018-12-03T06:00:00.000+0000,-88,33
2018-12-03T07:00:00.000+0000,-78,30
2018-12-03T08:00:00.000+0000,-86,41
2018-12-03T09:00:00.000+0000,-87,39
2018-12-03T10:00:00.000+0000,-90,45
2018-12-03T11:00:00.000+0000,-81,30
2018-12-03T12:00:00.000+0000,-81,24
2018-12-03T13:00:00.000+0000,-75,21
2018-12-03T14:00:00.000+0000,-90,22
2018-12-03T15:00:00.000+0000,-96,22
2018-12-03T16:00:00.000+0000,-86,25
2018-12-03T17:00:00.000+0000,-100,21
2018-12-03T18:00:00.000+0000,-100,21
2018-12-03T19:00:00.000+0000,-99,28
2018-12-03T20:00:00.000+0000,-94,27
2018-12-03T21:00:00.000+0000,-101,33
2018-12-03T22:00:00.000+0000,-92,44
2018-12-03T23:00:00.000+0000,-81,46
2018-12-04T00:00:00.000+0000,-89,48
2018-12-04T01:00:00.000+0000,-87,48
2018-12-04T02:00:00.000+0000,-80,53
2018-12-04T03:00:00.000+0000,-79,75
2018-12-04T04:00:00.000+0000,-78,88
2018-12-04T05:00:00.000+0000,-86,59
2018-12-04T06:00:00.000+0000,-81,60
2018-12-04T07:00:00.000+0000,-82,55
2018-12-04T08:00:00.000+0000,-76,55
2018-12-04T09:00:00.000+0000,-75,54
2018-12-04T10:00:00.000+0000,-96,38
2018-12-04T11:00:00.000+0000,-85,NaN
2018-12-04T12:00:00.000+0000,-78,NaN
2018-12-04T13:00:00.000+0000,-79,NaN
2018-12-04T14:00:00.000+0000,-71,NaN
2018-12-04T15:00:00.000+0000,-76,NaN
2018-12-04T16:00:00.000+0000,-88,23
2018-12-04T17:00:00.000+0000,-86,22
2018-12-04T18:00:00.000+0000,-100,24
2018-12-04T19:00:00.000+0000,-85,28
2018-12-04T20:00:00.000+0000,-96,36
2018-12-04T21:00:00.000+0000,-100,50
2018-12-04T22:00:00.000+0000,-97,46
2018-12-04T23:00:00.000+0000,-85,41
2018-12-05T00:00:00.000+0000,-101,41
2018-12-05T01:00:00.000+0000,-96,33
2018-12-05T02:00:00.000+0000,-121,34
2018-12-05T03:00:00.000+0000,-113,36
2018-12-05T04:00:00.000+0000,-96,38
2018-12-05T05:00:00.000+0000,-77,43
2018-12-05T06:00:00.000+0000,-55,46
2018-12-05T07:00:00.000+0000,-91,40
2018-12-05T08:00:00.000+0000,-89,45
2018-12-05T09:00:00.000+0000,-96,37
2018-12-05T10:00:00.000+0000,-97,31
2018-12-05T11:00:00.000+0000,-75,27
2018-12-05T12:00:00.000+0000,-106,20
2018-12-05T13:00:00.000+0000,-99,22
2018-12-05T14:00:00.000+0000,-83,28
2018-12-05T15:00:00.000+0000,-95,26
2018-12-05T16:00:00.000+0000,-85,23
2018-12-05T17:00:00.000+0000,-98,24
2018-12-05T18:00:00.000+0000,-102,22
2018-12-05T19:00:00.000+0000,-98,24
2018-12-05T20:00:00.000+0000,-96,24
2018-12-05T21:00:00.000+0000,-89,28
2018-12-05T22:00:00.000+0000,-100,30
2018-12-05T23:00:00.000+0000,-97,31
2018-12-06T00:00:00.000+0000,-93,27
2018-12-06T01:00:00.000+0000,-110,27
2018-12-06T02:00:00.000+0000,-108,26
2018-12-06T03:00:00.000+0000,-108,32
2018-12-06T04:00:00.000+0000,-92,35
2018-12-06T05:00:00.000+0000,-79,40
2018-12-06T06:00:00.000+0000,-100,38
2018-12-06T07:00:00.000+0000,-101,37
2018-12-06T08:00:00.000+0000,-91,36
2018-12-06T09:00:00.000+0000,-103,37
2018-12-06T10:00:00.000+0000,-100,35
2018-12-06T11:00:00.000+0000,-104,27
2018-12-06T12:00:00.000+0000,-104,24
2018-12-06T13:00:00.000+0000,-70,24
2018-12-06T14:00:00.000+0000,-72,26
2018-12-06T15:00:00.000+0000,-71,23
2018-12-06T16:00:00.000+0000,-71,23
2018-12-06T17:00:00.000+0000,-73,25
2018-12-06T18:00:00.000+0000,-98,22
2018-12-06T19:00:00.000+0000,-76,24
2018-12-06T20:00:00.000+0000,NaN,24
2018-12-06T21:00:00.000+0000,-112,33
2018-12-06T22:00:00.000+0000,-83,41
2018-12-06T23:00:00.000+0000,-101,48
2018-12-07T00:00:00.000+0000,-78,48
2018-12-07T01:00:00.000+0000,-89,46
2018-12-07T02:00:00.000+0000,-76,38
2018-12-07T03:00:00.000+0000,-68,45
2018-12-07T04:00:00.000+0000,-84,48
2018-12-07T05:00:00.000+0000,-89,44
2018-12-07T06:00:00.000+0000,-97,40
2018-12-07T07:00:00.000+0000,-101,43
2018-12-07T08:00:00.000+0000,-99,41
2018-12-07T09:00:00.000+0000,-98,47
2018-12-07T10:00:00.000+0000,-94,38
2018-12-07T11:00:00.000+0000,-89,39
2018-12-07T12:00:00.000+0000,-89,34
2018-12-07T13:00:00.000+0000,-92,28
2018-12-07T14:00:00.000+0000,-90,25
2018-12-07T15:00:00.000+0000,-90,27
2018-12-07T16:00:00.000+0000,-81,26
2018-12-07T17:00:00.000+0000,-97,26
2018-12-07T18:00:00.000+0000,-93,25
2018-12-07T19:00:00.000+0000,-90,25
