areaEN,areaTH,lat,long,nameEN,nameTH,stationID,stationType
"Kanchanaphisek Rd, Bang Khun Thian, Bangkok","ริมถนนกาญจนาภิเษก เขตบางขุนเทียน, กรุงเทพฯ",13.636514,100.414262,Highway NO.3902 km.13 +600,ริมถนนทางหลวงหมายเลข 3902 ,03t,GROUND
"Bang Na, Khet Bang Na, Bangkok","แขวงบางนา, เขตบางนา, กรุงเทพฯ",13.666113,100.605741,Thai Meteorological Department ,กรมอุตุนิยมวิทยาบางนา,05t,GROUND
"Khlong Chan, Khet Bang Kapi, Bangkok","แขวงคลองจั่น, เขตบางกะปิ, กรุงเทพฯ",13.779539,100.645654,National Housing Authority Klongchan,เคหะชุมชนคลองจั่น,10t,GROUND
"Din Daeng, Khet Din Daeng, Bangkok","แขวงดินแดง, เขตดินแดง, กรุงเทพฯ",13.775516,100.569206,National Housing  Huaykwang,การเคหะชุมชนห้วยขวาง ,11t,GROUND
"Rama IV Rd. Khet Pathum Wan, Bangkok","ริมถนนพระราม 4 เขตปทุมวัน, กรุงเทพฯ",13.729984,100.536443,Chulalongkorn Hospital,โรงพยาบาลจุฬาลงกรณ์,50t,GROUND
"Intarapitak Rd. Khet Thon Buri, Bangkok","ริมถนนอินทรพิทักษ์ เขตธนบุรี, กรุงเทพฯ",13.727557,100.486604,Thonburi Power Sub-Station,การไฟฟ้าย่อยธนบุรี ,52t,GROUND
"Lat Phrao Rd. Khet Wang Thonglang, Bangkok","ริมถนนลาดพร้าว เขตวังทองหลาง, กรุงเทพฯ",13.795414,100.592899,Chokchai Police Station,สถานีตำรวจนครบาลโชคชัย ,53t,GROUND
"Din Daeng Rd. Khet Din Daeng, Bangkok","ริมถนนดินแดง เขตดินแดง, กรุงเทพฯ",13.762609,100.550361,National Housing Authority Dindaeng,การเคหะชุมชนดินแดง ,54t,GROUND
"Phaya Thai, Khet Phaya Thai, Bangkok","แขวงพญาไท, เขตพญาไท, กรุงเทพฯ",13.783143,100.540529,The Government Public Relations Department ,กรมประชาสัมพันธ์,59t,GROUND
"Pubpla, Khet Wang Thonglang, Bangkok","แขวงพลับพลา, เขตวังทองหลาง, กรุงเทพฯ",13.76963,100.614562,Bodindecha Sing Singhaseni School,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) ,61t,GROUND
"Ban Nuea, Mueang, Kanchanaburi","ต.บ้านเหนือ อ.เมือง, จ.กาญจนบุรี",14.022425,99.536118,Kanchanaburi Meteorological Station,สถานีอุตุนิยมวิทยา จ.กาญจนบุรี,79t,GROUND
"Nai Mueang, Mueang, Khon Kaen","ต.ในเมือง, อ.เมือง, ขอนแก่น",16.445329,102.835251,Hydrogeological Group Water Resources Regional Office4 khonkaen,ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาคที่4 ขอนแก่น,46t,GROUND
"Wang Yen, Plaeng Yao, Chachoengsao","ต.วังเย็น, อ.แปลงยาว, ฉะเชิงเทรา",13.588554,101.286359,Municipality Office Tungsadao,สำนักงานเทศบาลตำบลทุ่งสะเดา,60t,GROUND
